Username,AC221,AC222,AC223,PT4,W13,W14,W15,W16,Wiki,Rookie Tasks,WT221,WT222,WT223
tidesoftime7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtg108,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,5.0,0.0
FireKing10789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CShockWave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By-Tor,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,10.0,12.0,5.0,5.0,5.0
Big Edd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpookyBazz,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Spankmedoodles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jobin,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,5.0,5.0,0.0
jackalewis229,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,10.0,12.0,5.0,5.0,5.0
